127.0.0.1 - - [16/Jun/2017:21:28:20 -0500] "GET / HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:22 -0500] "GET /edu/ HTTP/1.1" 200 7020
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:24 -0500] "GET /favicon.ico HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "POST /edu/VerificarAcceso HTTP/1.1" 200 20904
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/css/style.css;jsessionid=A53390B9A10E688504B2955834C09705 HTTP/1.1" 200 5811
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/font-awesome/css/font-awesome.css;jsessionid=A53390B9A10E688504B2955834C09705 HTTP/1.1" 200 21658
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/plugins/bootstrap/bootstrap.css;jsessionid=A53390B9A10E688504B2955834C09705 HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/css/main-style.css;jsessionid=A53390B9A10E688504B2955834C09705 HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/plugins/pace/pace-theme-big-counter.css;jsessionid=A53390B9A10E688504B2955834C09705 HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/assets/img/logo.png HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/plugins/metisMenu/jquery.metisMenu.js;jsessionid=A53390B9A10E688504B2955834C09705 HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/assets/img/user.jpg HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/plugins/pace/pace.js;jsessionid=A53390B9A10E688504B2955834C09705 HTTP/1.1" 200 25115
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/plugins/jquery-1.10.2.js;jsessionid=A53390B9A10E688504B2955834C09705 HTTP/1.1" 200 112208
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/plugins/bootstrap/bootstrap.min.js;jsessionid=A53390B9A10E688504B2955834C09705 HTTP/1.1" 200 29097
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:26 -0500] "GET /edu/resources/assets/scripts/siminta.js;jsessionid=A53390B9A10E688504B2955834C09705 HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:27 -0500] "GET /edu/20 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:27 -0500] "GET /edu/500 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:27 -0500] "GET /edu/2000 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:27 -0500] "GET /edu/100 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:27 -0500] "GET /edu/3000 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:28:31 -0500] "GET /edu/3100 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:25 -0500] "GET /edu/3100 HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "POST /edu/VerificarAcceso HTTP/1.1" 200 9054
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/resources/assets/font-awesome/css/font-awesome.css HTTP/1.1" 200 21658
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/resources/assets/plugins/bootstrap/bootstrap.css HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/resources/assets/css/style.css HTTP/1.1" 200 5811
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/resources/assets/plugins/pace/pace-theme-big-counter.css HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/resources/assets/css/main-style.css HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/resources/assets/plugins/jquery-1.10.2.js HTTP/1.1" 200 112208
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/resources/assets/plugins/bootstrap/bootstrap.min.js HTTP/1.1" 200 29097
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/resources/assets/plugins/metisMenu/jquery.metisMenu.js HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/resources/assets/scripts/siminta.js HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/assets/img/user.jpg HTTP/1.1" 404 978
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/resources/assets/plugins/pace/pace.js HTTP/1.1" 200 25115
0:0:0:0:0:0:0:1 - - [16/Jun/2017:21:32:36 -0500] "GET /edu/assets/img/logo.png HTTP/1.1" 404 978
